Accident_Index,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Sex_of_Driver,Sex_of_Casualty,Age_of_Driver,Age_of_Casualty,,,,,,,,,
2.02E+12,3,1,2,01/01/18,2,1:30,1,2,57,50,,,,,,,,,
2.02E+12,3,1,1,01/01/18,2,0:50,1,1,48,48,,,,,,,,,
2.02E+12,3,1,1,01/01/18,2,0:45,1,1,22,29,,,,,,,,,
2.02E+12,2,1,1,01/01/18,2,3:00,1,1,40,40,,,,,,,,,
2.02E+12,2,2,2,01/01/18,2,2:20,1,1,28,27,,,,,,,,,
2.02E+12,3,1,4,01/01/18,2,1:52,1,1,51,43,,,,,,,,,
2.02E+12,2,1,1,01/01/18,2,5:47,1,2,30,58,,,,,,,,,
2.02E+12,3,3,1,01/01/18,2,4:40,1,1,43,69,,,,,,,,,
2.02E+12,3,2,1,01/01/18,2,0:30,1,1,55,56,,,,,,,,,
2.02E+12,2,2,1,01/01/18,2,3:00,2,2,63,60,,,,,,,,,
2.02E+12,2,1,1,01/01/18,2,6:06,2,2,41,35,,,,,,,,,
2.02E+12,3,1,1,01/01/18,2,5:23,1,1,66,27,,,,,,,,,
2.02E+12,2,2,7,01/01/18,2,5:30,1,2,52,36,,,,,,,,,
2.02E+12,3,2,1,01/01/18,2,3:05,2,1,36,31,,,,,,,,,
2.02E+12,3,1,1,01/01/18,2,6:54,2,1,45,34,,,,,,,,,
2.02E+12,3,2,1,01/01/18,2,7:00,1,1,68,46,,,,,,,,,
2.02E+12,2,3,1,01/01/18,2,10:45,1,1,24,19,,,,,,,,,
2.02E+12,3,3,1,01/01/18,2,10:35,1,1,31,27,,,,,,,,,
2.02E+12,3,3,3,01/01/18,2,12:45,1,1,34,26,,,,,,,,,
2.02E+12,3,2,1,01/01/18,2,14:38,1,1,53,18,,,,,,,,,
2.02E+12,3,1,1,01/01/18,2,16:31,1,1,78,18,,,,,,,,,
2.02E+12,2,1,1,01/01/18,2,16:25,2,1,52,23,,,,,,,,,
2.02E+12,3,1,1,01/01/18,2,14:11,1,1,27,28,,,,,,,,,
2.02E+12,3,2,1,01/01/18,2,15:20,1,2,28,38,,,,,,,,,
2.02E+12,3,2,1,01/01/18,2,17:18,1,1,24,34,,,,,,,,,
2.02E+12,3,4,1,01/01/18,2,7:10,1,1,34,31,,,,,,,,,
2.02E+12,3,5,1,01/01/18,2,20:55,1,1,31,38,,,,,,,,,
2.02E+12,3,3,1,01/01/18,2,20:35,1,1,38,44,,,,,,,,,
2.02E+12,2,4,2,01/01/18,2,20:36,2,1,37,35,,,,,,,,,
2.02E+12,3,1,4,01/01/18,2,22:10,2,1,45,41,,,,,,,,,
2.02E+12,3,7,1,01/01/18,2,22:05,1,1,57,40,,,,,,,,,
2.02E+12,3,7,1,01/01/18,2,23:50,2,2,32,27,,,,,,,,,
2.02E+12,3,8,1,02/01/18,3,3:08,1,2,35,62,,,,,,,,,
2.02E+12,3,7,1,01/01/18,2,2:49,1,2,57,52,,,,,,,,,
2.02E+12,3,2,1,02/01/18,3,3:51,2,1,36,8,,,,,,,,,
2.02E+12,2,5,1,02/01/18,3,8:05,1,1,29,12,,,,,,,,,
2.02E+12,2,6,1,02/01/18,3,7:01,1,1,56,26,,,,,,,,,
2.02E+12,3,2,1,02/01/18,3,6:45,1,2,39,30,,,,,,,,,
2.02E+12,2,1,1,02/01/18,3,6:46,2,1,50,46,,,,,,,,,
2.02E+12,3,1,1,02/01/18,3,12:00,1,1,32,17,,,,,,,,,
2.02E+12,3,1,1,02/01/18,3,13:00,1,1,61,23,,,,,,,,,
2.02E+12,3,1,4,02/01/18,3,10:55,1,1,26,56,,,,,,,,,
2.02E+12,3,10,1,02/01/18,3,13:15,1,2,20,13,,,,,,,,,
2.02E+12,3,3,1,02/01/18,3,14:04,2,1,48,28,,,,,,,,,
2.02E+12,3,2,1,02/01/18,3,16:20,1,1,46,23,,,,,,,,,
2.02E+12,3,2,1,02/01/18,3,14:03,1,1,52,21,,,,,,,,,
2.02E+12,3,1,1,02/01/18,3,17:45,1,1,48,26,,,,,,,,,
2.02E+12,3,1,1,02/01/18,3,15:28,1,1,38,46,,,,,,,,,
2.02E+12,3,1,3,02/01/18,3,17:07,1,1,54,48,,,,,,,,,
2.02E+12,3,1,1,02/01/18,3,19:45,1,1,40,18,,,,,,,,,
2.02E+12,3,1,1,01/01/18,2,18:41,1,1,56,31,,,,,,,,,
2.02E+12,3,1,2,02/01/18,3,19:00,1,1,28,56,,,,,,,,,
2.02E+12,3,2,1,02/01/18,3,20:10,1,1,46,24,,,,,,,,,
2.02E+12,2,1,1,02/01/18,3,20:00,1,1,45,38,,,,,,,,,
2.02E+12,3,2,3,02/01/18,3,19:00,1,1,59,23,,,,,,,,,
2.02E+12,3,4,2,02/01/18,3,20:11,1,1,48,60,,,,,,,,,
2.02E+12,3,9,1,02/01/18,3,16:27,1,2,67,48,,,,,,,,,
2.02E+12,3,2,1,02/01/18,3,21:10,1,1,58,31,,,,,,,,,
2.02E+12,3,3,1,02/01/18,3,18:50,1,2,31,41,,,,,,,,,
2.02E+12,2,1,1,02/01/18,3,21:59,2,2,26,17,,,,,,,,,
2.02E+12,2,5,1,03/01/18,4,1:50,1,1,45,15,,,,,,,,,
2.02E+12,3,1,1,01/01/18,2,17:00,1,1,54,15,,,,,,,,,
2.02E+12,3,1,1,03/01/18,4,7:20,1,2,50,61,,,,,,,,,
2.02E+12,3,1,1,02/01/18,3,12:55,1,2,41,37,,,,,,,,,
2.02E+12,3,2,1,02/01/18,3,14:18,1,1,35,35,,,,,,,,,
